UsageData,BillingAmount,PaymentHistory,CustomerServiceInteractions,Complaints,PromotionsReceived,ContractType,ContractDuration,Age,Gender,Income,HouseholdSize,is_churned,Month
880.9229703211414,,1,2,0,0,1,16,18,0,57732,2,0,1
,176.1447251913149,1,1,0,2,1,12,51,0,84085,3,0,1
311.7631909760996,145.69017110784873,1,2,0,0,0,15,21,1,51898,5,0,1
414.4127729841056,105.30521695441196,1,4,1,3,1,13,23,0,72227,3,0,1
244.6970276783871,52.3083189956826,1,5,2,3,0,17,41,1,37707,1,0,1
549.6249695472181,70.5079065132207,1,5,1,0,1,24,49,1,110765,5,0,1
,93.18395864541247,0,1,1,3,0,8,64,1,67488,4,0,1
935.2181080142898,2.2234358768333795,1,5,0,1,1,17,54,0,107210,4,0,1
361.973971988064,121.02464273881044,1,2,0,2,0,22,45,1,65815,5,0,1
493.6517678915359,10.565750562776577,1,4,0,0,1,1,27,0,82109,2,0,1
887.4937841436865,86.75063197517836,1,5,1,2,1,12,31,0,35579,3,0,1
776.9929816212058,133.48998650822082,1,5,1,2,0,7,40,0,93890,4,0,1
524.5409425155657,,1,1,0,1,1,19,56,0,65090,4,0,1
,,1,5,2,2,1,13,55,1,107029,5,0,1
77.12142565598367,45.33296294915827,1,5,0,3,0,13,45,0,77692,4,0,1
696.1029556321032,10.859954581343525,1,3,1,1,1,12,58,0,56073,1,0,1
261.6634144805647,,1,4,1,0,1,10,58,1,90962,5,1,1
776.1413201417856,113.640804098706,1,3,1,0,0,8,64,1,73818,1,0,1
,,1,1,1,3,1,8,62,0,118185,5,0,1
164.4172140847896,143.47528186514737,1,4,2,2,1,18,18,0,27573,1,0,1
661.6548769193256,84.67106647399574,1,5,0,0,1,23,53,1,70806,3,0,1
238.3269386604392,86.06959151305537,1,4,0,1,0,12,47,0,62946,3,0,1
994.9406209329244,61.32349810617039,0,5,2,2,1,1,45,1,111918,5,0,1
761.8442766928965,150.8759393953841,1,2,2,2,0,18,32,0,40806,3,0,1
,68.94605018759317,1,3,1,3,1,17,65,0,113964,3,0,1
,66.081175213236,1,3,2,1,0,4,46,0,69097,5,0,1
,,1,4,1,3,1,15,56,1,106384,5,0,1
510.1225994331677,,1,4,0,2,0,16,56,0,53062,4,0,1
537.5805189395847,0.9534646108739776,0,0,0,1,0,10,38,0,31715,1,0,1
522.986695032889,96.75451885817378,1,2,1,0,0,22,50,0,48102,4,0,1
,25.119406220785436,0,3,0,3,1,1,34,1,110037,4,0,1
562.547357981396,,1,3,1,2,0,1,59,0,108968,4,0,1
728.1988801497511,188.47952027214097,1,4,0,3,1,20,44,0,109515,5,0,1
492.041824046585,179.3328313338706,1,3,2,0,0,18,42,0,53103,2,0,1
,174.95330893170654,1,5,1,3,1,22,65,1,114768,4,0,1
395.51701881117486,180.53394696740932,1,1,1,0,1,20,62,0,95019,2,0,1
,142.64510230850706,1,4,0,0,1,13,49,0,92376,2,0,1
,,1,3,1,1,1,2,59,1,93355,2,0,1
463.84991432368696,,0,5,0,3,1,24,32,0,74836,4,0,1
550.5472241486176,30.70396343629731,0,1,1,3,0,7,64,1,60140,1,0,1
997.7779129801723,47.893368326339456,1,4,1,1,0,3,19,1,100520,1,0,1
788.9406997611549,167.80524848235282,1,5,0,1,0,17,28,0,38565,4,0,1
394.00205697602354,125.18522658289064,1,0,1,2,1,23,20,1,56107,5,0,1
821.5885015732397,81.28180748976128,1,3,0,0,1,21,34,0,102016,3,0,1
811.1713983911096,163.11122855202618,1,3,0,3,0,7,42,0,109653,5,0,1
371.73916688944286,69.14218201586564,1,0,0,1,0,19,59,0,101120,1,0,1
,82.85408149550553,0,4,0,3,1,17,42,1,99177,1,1,1
455.17975932360577,,1,3,2,1,0,4,53,0,110505,2,0,1
944.554239386496,150.99985392389078,1,5,0,1,0,12,32,0,50926,4,0,1
362.1519505040196,,1,3,2,0,1,20,58,1,73835,4,1,1
916.4504987985268,36.167691742638986,1,3,1,0,1,9,68,0,72518,2,1,1
15.816765310421754,11.219586891637622,1,0,1,1,1,1,68,1,77713,1,0,1
371.42874554628327,124.99033564291646,1,5,1,3,0,19,48,1,39273,1,0,1
544.3801946332228,58.561585104297585,1,3,2,3,1,8,59,1,105779,3,0,1
962.5863135415632,,1,2,1,1,0,2,40,1,71422,5,0,1
264.8302551768411,64.99113967414783,0,2,0,0,1,9,42,1,84703,5,0,1
524.3106505206708,,0,0,2,3,0,1,36,0,96112,4,0,1
,190.4228060986702,0,0,0,1,1,4,53,0,102894,1,0,1
339.6887112061511,,1,1,1,3,1,15,62,0,100494,4,0,1
114.9917144221666,5.490979811621677,0,3,1,0,1,18,18,1,80835,2,0,1
798.1709227678148,,1,3,2,0,1,20,33,1,87135,5,0,1
666.0444073691618,78.13774485234278,1,4,1,0,0,14,25,1,43689,2,0,1
181.4385065722448,1.1186884504377217,1,5,1,2,0,10,45,0,66853,2,0,1
,187.01531874791465,1,1,2,2,0,23,41,0,66518,3,0,1
193.08561524495823,97.69161359639628,1,0,2,1,0,2,21,0,83490,5,1,1
250.93665902168027,116.0096007168172,0,5,0,3,0,4,40,0,32046,1,0,1
,35.137860712969186,1,4,1,0,0,17,35,1,102614,2,0,1
430.56703499432115,66.05803702815993,1,0,2,2,1,4,32,0,75824,5,0,1
913.7186613044468,147.1550416218371,1,2,1,0,0,7,63,0,93593,1,0,1
409.13207385408754,1.823855079301828,1,5,0,2,0,19,35,1,38107,5,0,1
,29.92104710852159,1,2,2,1,1,4,51,1,73899,3,0,1
988.9811336793906,8.364069950920916,0,0,2,0,0,10,60,0,106371,5,0,1
56.46258771600743,88.82823209350666,1,2,1,2,1,10,65,0,106654,5,0,1
251.23840212426344,35.380347811194014,1,2,1,1,0,3,59,0,73111,3,0,1
898.911901090533,,0,4,2,2,1,6,25,0,98171,2,0,1
129.06673036839263,,1,0,2,2,0,22,29,1,94531,2,1,1
546.3738677884044,,0,4,0,1,1,15,57,1,107473,4,1,1
568.2896245694204,75.77950335533214,1,5,2,0,1,14,30,1,45635,4,0,1
885.1842730190116,16.535758089099573,1,1,2,0,1,24,41,1,90042,4,1,1
936.2635491051576,141.35116060324265,1,2,1,1,1,4,18,1,57595,2,0,1
524.2703791637103,89.12307350915773,1,0,2,1,1,13,28,0,71848,1,0,1
615.4695822869044,107.3259751490966,1,4,1,1,0,3,29,1,35625,6,0,1
405.7042397556515,,1,5,2,3,1,7,33,1,89828,4,0,1
116.2824015452928,77.89702963705795,0,2,2,1,0,8,51,1,72782,4,1,1
933.1312394529364,,1,1,2,1,1,17,62,0,76913,1,0,1
191.02621341071543,7.069624250111306,1,3,0,3,1,23,33,1,43761,1,0,1
479.824160375532,125.13130547140452,1,1,0,2,0,18,38,0,79820,3,0,1
554.5778725520169,10.99014814506598,1,1,0,0,1,3,55,0,45404,5,0,1
