UsageData,BillingAmount,PaymentHistory,CustomerServiceInteractions,Complaints,PromotionsReceived,ContractType,ContractDuration,Age,Gender,Income,HouseholdSize,CustomerID,Churned_Month7
,158.68160146877543,1,0,1,2,1,9,65,Male,115161,1,CUST0001,0
258.59141021669853,,1,4,1,3,1,20,28,Male,75072,4,CUST0002,0
170.43064699597775,179.56097468446015,1,4,2,1,0,14,67,Female,60499,5,CUST0003,0
865.9306842196543,,1,0,1,0,1,8,33,Female,41801,1,CUST0004,0
858.7152568716914,65.92101615712255,1,4,2,1,0,19,26,Female,31823,2,CUST0005,0
233.52053146355667,,1,0,2,2,1,24,31,Male,51917,4,CUST0006,0
61.948366321733616,195.97097914588952,1,2,1,3,0,20,54,Male,104144,5,CUST0007,1
178.98278589163962,,1,1,1,2,1,19,58,Male,70308,4,CUST0008,0
614.3168584660303,147.16203583348846,1,1,1,1,1,15,65,Male,103789,5,CUST0009,0
,100.03944458471821,1,4,0,3,0,17,52,Male,53271,3,CUST0010,0
348.89597775147496,35.984166204656034,0,2,1,1,1,23,25,Female,93146,2,CUST0011,0
183.301369627643,101.68457058351854,0,4,1,0,0,20,27,Female,36354,3,CUST0012,0
675.4296012910454,83.29624243813491,1,3,0,2,0,4,61,Female,71533,2,CUST0013,0
897.8834268080783,,1,3,0,3,0,18,25,Male,92975,2,CUST0014,0
775.161100591171,40.13807126515101,1,0,0,2,0,6,30,Female,30655,5,CUST0015,0
204.11439204919157,47.21128310915896,1,2,2,3,1,2,64,Male,45043,2,CUST0016,0
609.8457716986941,115.16983705502493,1,4,1,1,1,11,50,Female,72110,2,CUST0017,0
684.4847627485095,196.2017897493942,1,3,1,0,0,22,47,Female,77352,3,CUST0018,1
854.0329977818535,178.84998097707424,1,2,1,3,0,13,32,Male,52116,3,CUST0019,0
850.9658612504388,75.62355876107523,1,5,2,1,0,20,33,Male,39839,3,CUST0020,0
646.9421267419067,49.33584673341485,0,1,2,2,0,17,37,Female,70718,2,CUST0021,0
904.7197686411055,81.11364579480494,0,3,1,2,1,10,53,Female,55040,2,CUST0022,0
923.4730505768193,129.34269456376782,1,1,0,2,1,14,58,Female,42657,2,CUST0023,0
163.14193717770053,,0,5,0,1,1,9,20,Male,75434,3,CUST0024,0
678.4109671739997,153.7313182241736,0,1,2,2,0,4,64,Female,40763,4,CUST0025,0
,103.449719783982,1,0,2,2,0,22,33,Female,34625,5,CUST0026,0
268.17759890848316,80.8217194103851,1,5,0,0,1,23,56,Female,84957,5,CUST0027,0
636.8693088057609,129.5519520751964,1,2,1,0,0,15,29,Female,86565,3,CUST0028,0
,10.597828779674344,1,3,0,0,1,11,58,Female,85953,2,CUST0029,0
877.893803422748,159.89431394350558,0,5,0,1,1,4,69,Male,48598,4,CUST0030,0
,7.156220314512485,1,0,2,3,0,12,33,Male,57057,2,CUST0031,1
127.22633383960135,139.06484417937415,0,1,2,3,1,3,24,Male,49069,5,CUST0032,0
,,0,0,1,3,1,21,51,Female,93655,3,CUST0033,1
473.2829827309223,10.925784004618366,1,4,1,2,0,5,42,Male,63592,4,CUST0034,0
710.3828566635393,8.894886540828395,1,3,2,1,1,6,66,Female,64248,2,CUST0035,0
,155.5372415453491,1,5,2,0,1,11,66,Male,96297,1,CUST0036,0
911.1538612608741,,1,1,1,0,1,2,45,Male,63901,3,CUST0037,0
,151.48016364927037,1,2,2,3,0,8,54,Female,61974,3,CUST0038,0
126.85763346038004,116.42332810192917,1,4,1,2,1,6,51,Male,69272,5,CUST0039,0
416.3602425855786,31.815814661210485,1,0,0,1,0,1,62,Male,92018,3,CUST0040,0
261.58106684040115,163.5986774187969,1,0,2,0,1,11,46,Female,60654,4,CUST0041,0
742.6961147490578,51.20031110625083,1,5,0,1,0,7,19,Male,59102,3,CUST0042,0
,69.06503594363032,1,5,1,0,1,8,22,Female,76196,2,CUST0043,0
,,1,0,0,2,1,20,40,Female,74212,2,CUST0044,0
254.90705003908587,5.483509116980456,0,3,2,0,1,4,22,Female,49130,4,CUST0045,0
,144.4608261776922,1,2,1,1,0,17,67,Female,70619,5,CUST0046,1
689.5674731544597,105.29176397548858,1,0,2,0,0,17,62,Male,53979,3,CUST0047,0
,84.87014526081455,1,2,0,0,1,24,55,Male,116277,2,CUST0048,0
387.6014028298596,,0,0,1,3,0,11,64,Female,46920,2,CUST0049,0
793.5296855120557,95.59131824097979,1,0,0,1,0,16,54,Female,47746,1,CUST0050,1
567.1641879364513,46.87056779856302,0,1,1,1,0,8,60,Female,81656,1,CUST0051,0
373.5734145407029,116.42287961363331,1,4,2,3,1,7,41,Male,54057,4,CUST0052,0
410.5874846322519,195.1954545496657,1,0,1,2,0,3,48,Male,66293,4,CUST0053,1
386.55025335251014,,1,2,2,2,0,9,43,Female,54320,2,CUST0054,0
,44.49767794854769,0,3,1,1,0,9,34,Male,32587,3,CUST0055,0
611.2318555470597,107.20998976437298,0,2,0,1,1,1,47,Male,105678,1,CUST0056,0
864.0001189910528,28.13414512923005,1,3,1,0,0,12,42,Male,76332,4,CUST0057,0
647.7427726027934,81.0927861109987,0,4,1,0,1,8,38,Male,57424,2,CUST0058,0
856.7641408898846,33.04086165720934,1,2,1,3,0,4,29,Male,103564,5,CUST0059,0
800.6413882552924,47.25236392729275,1,0,0,0,1,14,34,Male,60681,2,CUST0060,0
914.1996301337871,158.292894389871,1,0,2,2,1,10,32,Female,92244,3,CUST0061,1
696.5923169994406,91.5784653786432,1,3,1,3,0,6,43,Female,111034,1,CUST0062,0
818.3668107587046,,1,4,1,0,1,4,43,Male,99028,5,CUST0063,0
539.0742605148318,73.8393295306351,1,4,0,1,1,8,39,Male,107510,1,CUST0064,0
976.8054277919359,,1,0,1,2,1,11,69,Female,47623,2,CUST0065,0
,58.03590579899824,1,2,0,0,0,21,51,Male,111993,1,CUST0066,0
351.0323809714395,53.145202239793065,0,0,0,2,0,11,48,Male,47840,1,CUST0067,0
627.0966701800523,184.2837582469128,1,2,1,0,0,17,30,Male,74872,5,CUST0068,0
905.6124376720757,196.56583791068664,1,2,1,3,1,1,59,Male,69161,3,CUST0069,0
412.3904657771227,91.96758088531591,1,4,0,0,1,10,38,Female,110233,5,CUST0070,0
,90.4822134103787,1,1,0,2,0,20,32,Female,47664,2,CUST0071,0
632.0668005458922,53.802834880668016,0,5,1,0,0,11,27,Female,65126,5,CUST0072,0
851.0555261610431,135.77998725340285,1,4,0,3,0,17,49,Female,62555,3,CUST0073,0
269.97075657269943,,1,0,0,1,0,16,46,Female,74043,2,CUST0074,0
913.9309198966342,143.5468398557156,1,0,2,3,0,13,64,Male,110413,1,CUST0075,0
100.54719358983056,72.12562198861374,1,2,0,2,1,4,39,Female,87925,3,CUST0076,0
281.64982701318917,22.576689335652244,1,4,1,1,1,17,32,Female,96478,4,CUST0077,0
80.93054104988062,41.58391311479379,1,1,0,1,0,18,36,Female,88942,5,CUST0078,1
436.036207198771,18.024632233823688,1,0,2,2,0,1,52,Female,75543,4,CUST0079,0
49.86095177858563,111.84916218838599,1,5,0,0,0,10,36,Female,86591,6,CUST0080,0
613.0987937008881,190.54799424045203,1,1,2,0,1,4,48,Female,99383,5,CUST0081,0
38.24313225299625,71.25227408845419,1,4,0,0,1,19,51,Male,88794,2,CUST0082,0
824.7933400723194,63.75084601506702,1,1,1,0,1,15,52,Male,69066,4,CUST0083,1
,115.91516423312838,1,5,0,1,0,18,63,Female,108543,4,CUST0084,0
169.37218484452941,,1,3,2,3,0,10,22,Male,104309,5,CUST0085,1
204.3606426983038,,1,0,2,1,0,14,40,Female,47772,2,CUST0086,0
257.9133722014597,64.78617500521912,1,0,2,3,1,8,22,Female,39355,4,CUST0087,0
873.4718051772097,146.63627369454687,1,4,2,1,0,2,54,Female,85793,5,CUST0088,0
413.47605213709846,149.63401823912366,1,4,0,3,0,5,50,Male,46187,4,CUST0089,0
132.950064367928,,1,4,0,3,0,5,30,Female,51421,4,CUST0090,0
703.788639991856,95.71960251635888,1,2,2,2,1,3,19,Male,34095,1,CUST0091,0
672.7344354803449,171.29963153733257,1,2,2,3,0,3,29,Female,104678,5,CUST0092,0
,174.56834039947518,0,1,0,3,0,8,30,Female,87405,4,CUST0093,0
,18.111964541637484,1,1,0,1,1,5,37,Female,77881,2,CUST0094,0
,176.95559344733644,0,5,1,3,0,23,35,Male,99356,4,CUST0095,0
133.56658756300376,,1,4,0,0,1,4,64,Female,95606,2,CUST0096,0
26.560457209023113,,1,1,0,1,0,3,63,Female,70710,2,CUST0097,0
322.2521632035342,13.238215459383795,0,0,2,2,1,10,48,Female,48046,5,CUST0098,0
552.4523408478725,164.2024681518117,1,0,0,1,1,5,30,Male,67017,3,CUST0099,0
80.05048344600362,24.896308150280653,1,2,1,3,0,10,55,Female,76186,3,CUST0100,0
585.5640194122607,41.285737195945394,1,4,2,1,1,15,27,Male,91091,5,CUST0101,0
695.7615083387125,96.28598326686388,1,0,2,1,0,23,18,Male,38739,5,CUST0102,1
94.88372755867135,,1,5,1,3,0,2,54,Male,49189,3,CUST0103,0
789.4214306526978,81.4729848967817,0,0,1,1,1,7,44,Female,95705,3,CUST0104,0
476.9070376102571,125.95476967881336,1,2,2,3,0,21,55,Female,106109,1,CUST0105,0
219.77490636713648,54.70511834124774,0,1,2,1,1,9,69,Male,83055,5,CUST0106,0
434.5791552677775,32.197434114584624,1,0,1,2,0,14,31,Male,86210,1,CUST0107,0
182.65860718532622,,1,2,1,2,0,23,37,Male,40946,5,CUST0108,0
72.52058734876321,,1,1,2,2,1,16,52,Female,75252,1,CUST0109,0
879.964423470952,191.26127879527303,1,0,0,0,0,15,38,Female,33760,3,CUST0110,0
,96.98284037349025,1,4,0,0,1,19,42,Male,64280,2,CUST0111,0
987.0304792513859,6.852856498672311,1,1,0,1,0,7,51,Male,68791,4,CUST0112,0
583.019159589904,75.45024725244913,0,5,2,0,1,24,58,Female,93908,3,CUST0113,0
334.3822280714173,82.4338155354087,1,1,0,2,1,17,30,Male,46419,1,CUST0114,0
981.1785939840595,135.02356577989144,1,5,0,2,1,17,21,Male,53630,1,CUST0115,0
,182.77152593694598,0,0,2,1,1,6,38,Female,80777,6,CUST0116,0
377.3492888308594,95.03159370255449,1,0,2,3,0,2,66,Female,87283,4,CUST0117,0
54.94323715749616,62.4662759513843,1,-1,0,2,1,7,41,Male,57666,3,CUST0118,0
49.253461419247024,143.72554189353258,1,1,1,2,0,13,62,Female,66339,6,CUST0119,0
419.63103173859975,,0,0,1,2,0,2,50,Female,59186,4,CUST0120,0
962.598368370214,184.2287301571727,0,0,1,0,1,2,63,Male,105713,3,CUST0121,0
839.0803182573288,43.178809658075835,1,2,2,2,1,17,40,Male,105406,5,CUST0122,0
,,1,4,1,1,1,7,29,Male,40174,1,CUST0123,0
,74.85088334736534,0,5,1,2,1,9,63,Male,53490,3,CUST0124,0
941.2096090154134,100.21608725948525,1,4,2,1,1,22,32,Female,66183,1,CUST0125,1
815.9906538029385,141.97341125462845,1,3,2,0,1,5,40,Male,32973,7,CUST0126,0
438.76383502764605,85.985749162393,0,1,2,1,0,12,58,Male,55548,5,CUST0127,0
687.7210138508776,41.040773124868714,1,4,1,1,1,20,27,Male,61669,2,CUST0128,0
,128.1455363562443,1,1,0,3,1,11,53,Male,74387,1,CUST0129,0
,158.617475449178,1,5,2,3,1,8,46,Female,102882,4,CUST0130,0
637.6026927611733,196.58556238260377,1,4,2,3,0,23,30,Male,80695,3,CUST0131,0
,,1,1,2,3,0,23,66,Female,106072,2,CUST0132,0
100.79698009987482,35.894483671896296,1,4,1,0,1,16,67,Female,73950,5,CUST0133,0
886.7181315802936,153.03117075756168,1,5,2,0,1,18,48,Female,75677,3,CUST0134,0
50.29922179355428,147.8273290898977,0,5,1,3,0,6,56,Male,81474,5,CUST0135,0
,38.64334688246773,0,4,1,0,1,20,64,Female,108813,5,CUST0136,0
,,1,4,0,3,1,16,33,Male,55585,1,CUST0137,0
728.6577829929761,,1,1,0,3,1,18,65,Female,80725,3,CUST0138,0
394.8162040352705,195.966088183168,1,0,1,0,0,14,28,Female,91791,2,CUST0139,0
496.6584090710758,197.52195555566988,1,3,1,1,0,19,45,Female,107526,5,CUST0140,0
